Title;Link;Time;Content
Absen Bagi Dividen, PTPP Fokus Perkuat Struktur Modal;https://www.cnbcindonesia.com/market/20250430203348-17-630109/absen-bagi-dividen-ptpp-fokus-perkuat-struktur-modal;5 bulan yang lalu;"Jakarta, CNBC Indonesia -Emiten BUMN konstruksi dan investasi, PT PP (Persero) Tbk (PTPP) memutuskan tidak akan membagikan dividen tahun ini. Direktur Utama PTPP Novel Arsyad mengatakan hasil Rapat Umum Pemegang Saham Tahunan (RUPST) memutuskan untuk menggunakan keuntungan yang ada untuk memperkuat kas perusahaan.
Sementara itu, Direktur Keuangan dan Manajemen Risiko, Agus Purbianto menjelaskan alasan dividen ditetapkan sebagai laba yang ditahan.
""Alasan pertama adalah di sektor konstruksi, khususnya BUMN karya inikan terkait dengan modal kerja ini cukup tight banget. Apalagi sebagaimana kita ketahui di periode triwulan pertama ini kan baru beberapa buka blokir anggaran,"" jelas Agus dalam Konferensi Pers usai RUPST di Jakarta, Rabu (30/4/2025).
Menurutnya, baru beberapa blokir anggaran yang dibuka adalah proyek di Ibu Kota Nusantara (IKN) dan Kementerian Pekerjaan Umum (PU).
""Tentunya cadangan ini kita gunakan untuk memperkuat struktur permodalan kita,"" tegas Agus.
Adapun hingga kuartal I-2025 mencatatkan kontrak baru senilai Rp 6,27 triliun. Capaian ini meningkat 32% dibandingkan periode yang sama pada tahun sebelumnya.
Sebagai informasi, perolehan nilai kontrak baru PTPP hingga Maret 2025 telah melebihi 151% dari yang ditargetkan pada kuartal I-2025, dan telah mencapai 21% dari target akhir tahun 2025. Realisasi nilai kontrak baru tersebut didominasi oleh proyek dengan sumber dana BUMN sebesar 52,1%, swasta sebesar 28,6%, dan pemerintah sebesar 19,3%.
Adapun perolehan kontrak baru tertinggi yaitu pada sektor pelabuhan sebesar 37,2%, gedung sebesar 32,9%, jalan dan jembatan sebesar 22,6%, bendungan sebesar 4,3%, irigasi sebesar 2,8%, serta minyak dan gas sebesar 0,3%.
Sementara itu, capaian kontrak baru yang berhasil diraih PTPP pada Maret 2025 diantaranya yaitu Proyek New Priok East Access (NPEA) seksi II senilai Rp2,33 triliun dan Proyek Mandiri Financial Center PIK senilai Rp 878,3 miliar."
Satgas IKN Era Jokowi Dibubarkan, Ini Gantinya;https://www.cnbcindonesia.com/news/20250427154227-4-629117/satgas-ikn-era-jokowi-dibubarkan-ini-gantinya;5 bulan yang lalu;"Jakarta, CNBC Indonesia- Satuan Tugas (Satgas) Pembangunan Infrastruktur Ibu Kota Negara (IKN) Nusantara, yang dibentuk pada era pemerintahan Presiden ke-7 Joko Widodo (Jokowi), telah dibubarkan.
Menteri Pekerjaan Umum (PU) Dody Hanggodo membubarkannya dengan menerbitkan Keputusan Menteri Pekerjaan Umum Nomor 408/KPTS/M/2025 tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 Tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Keputusan Menteri (Kepmen) itu ditetapkan pada 26 Maret 2025 dan langsung berlaku pada saat ditetapkan.
Dalam pertimbangan terungkap, pencabutan payung hukum Satgas itu adalah karena sudah ada Otorita IKN (OIKN).
Huruf (a) pertimbangan Kepmen No 408/2025 itu menjelaskan, dalam rangka persiapan pembangunan infrastruktur Ibu Kota Negara telah dibentuk satuan tugas pembangunan infrastruktur ibu kota negara melalui Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
""Bahwa telah dibentuk Otorita Ibu Kota melalui Peraturan Presiden Nomor 62 Tahun 2022 tentang Otorita Ibu Kota Nusantara dalam rangka pelaksanaan pembangunan infrastruktur Ibu Kota Negara,"" bunyi huru (b), dikutip Minggu (27/4/2025).
Lebih lanjut pada poin huruf (c) tertulis, ""Pelaksanaan pembangunan infrastruktur Ibu Kota Negara dilakukan oleh Otorita Ibu Kota Nusantara sehingga tidak diperlukan Satuan Tugas Ibu Kota Negara di Kementerian Pekerjaan Umum.""
Karena pertimbangan tersebut, pada poin huruf (d) disebutkan, perlu menetapkan Keputusan Menteri Pekerjaan Umum tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Sehingga ditetapkan, Keputusan Menteri Pekerjaan Umum Nomor 408/KPTS/M/2025 tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 Tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Diktum Kesatu Kepmen No 408/2025 memutuskan, ""Pada saat Keputusan Menteri ini mulai berlaku, Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara, dicabut dan dinyatakan tidak berlaku.""
Tidak Direstui Sri Mulyani
Dalam keterangan terpisah, Sekjen Kementerian PU Zainal Fatah mengungkapkan alasan lain pembubaran Satgas Pembangunan Infrastruktur IKN. Salah satunya karena tidak mendapat persetujuan dari Menteri Keuangan Sri Mulyani.
""Kita komunikasi secara administratif dengan (Kementerian) Keuangan, Keuangan menolak. Artinya keliatannya nggak perlu itu (satgas). Ya sudah kita bubarin, karena nggak bisa dieksekusi,"" kata Zainal, seperti dilansir detikfinance.
""(Yang menolak Menteri Keuangan?) Iya, karena untuk membentuk pusat gas itu kan ada macem-macemnya, duitnya, acem-macem kan itu,"" sambungnya.
Dia menjelaskan, Satgas membutuhkan dukungan berbagai pihak, termasuk pendanaan. Di sisi lain, OIKN sudah bekerja normal, sehingga Satgas tidak diperlukan lagi.
""Yang jelas trigger utamanya kan Otorita sudah bekerja normal. Dulu tuh kan kita dibentuk karena di sini masing-masing Ditjen membangun, sehingga ada usulan Satgas,"" terangnya.
Sementara, imbuh dia, saat ini pimpinan Satgas yang dulunya menjabat di Kementerian PUPR sudah pindah ke Otorita IKN semua. Beberapa di antaranya seperti Deputi Bidang Sarana dan Prasarana OIKN Danis Hidayat Sumadilaga dan Stafsus Bidang Perencanaan Pembangunan OIKN Imam Santoso Ernawi.
""Sudah di sana semua, yang penting bergerak bareng pendekatannya tidak hilang,"" kata dia.
Sebagai catatan, Satgas Pembangunan Infrastruktur IKN dulu dibentuk oleh Menteri PUPR era Presiden Jokowi, yang kini ditunjuk Presiden Prabowo Subianto sebagai Kepala OIKN, yaitu Basuki Hadimuljono.
Pembentukan Satgas melalui Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 1419/KPTS/M/2021 tentang Satgas Pembangunan Infrastruktur IKN.
"
Satgas Pembangunan IKN Tiba-Tiba Dibubarkan, Ternyata Ini Alasannya;https://www.cnbcindonesia.com/news/20250427064910-4-629046/satgas-pembangunan-ikn-tiba-tiba-dibubarkan-ternyata-ini-alasannya;5 bulan yang lalu;"Jakarta, CNBC Indonesia -Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) resmi membubarkan Satuan Tugas (Satgas) Pembangunan Infrastruktur Ibu Kota Negara (IKN) Nusantara. Pembubaran ini dilakukan oleh Menteri PUPR Dody Hanggodo melalui penerbitan keputusan resmi.
Keputusan tersebut tertuang dalam Kepmen PUPR Nomor 408/KPTS/M/2025 yang mencabut Kepmen sebelumnya, yaitu Nomor 17/KPTS/M/2024 tentang pembentukan Satgas Pembangunan Infrastruktur Ibu Kota Negara.
Keputusan Menteri (Kepmen) itu ditetapkan pada 26 Maret 2025. Dan berlaku pada saat ditetapkan.
Dalam pertimbangan terungkap, pencabutan payung hukum Satgas itu adalah karena sudah ada Otorita IKN (OIKN).
Huruf (a) pertimbangan Kepmen No 408/2025 itu menjelaskan, dalam rangka persiapan pembangunan infrastruktur Ibu Kota Negara telah dibentuk satuan tugas pembangunan infrastruktur ibu kota negara melalui Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
""Bahwa telah dibentuk Otorita Ibu Kota melalui Peraturan Presiden Nomor 62 Tahun 2022 tentang Otorita Ibu Kota Nusantara dalam rangka pelaksanaan pembangunan infrastruktur Ibu Kota Negara,"" bunyi huru (b), dikutip Minggu (27/4/2025).
Lebih lanjut pada poin huruf (c) tertulis, ""Pelaksanaan pembangunan infrastruktur Ibu Kota Negara dilakukan oleh Otorita Ibu Kota Nusantara sehingga tidak diperlukan Satuan Tugas Ibu Kota Negara di Kementerian Pekerjaan Umum.""
Karena pertimbangan tersebut, pada poin huruf (d) disebutkan, perlu menetapkan Keputusan Menteri Pekerjaan Umum tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Sehingga ditetapkan, Keputusan Menteri Pekerjaan Umum Nomor 408/KPTS/M/2025 tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 Tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Diktum Kesatu Kepmen No 408/2025 memutuskan, ""Pada saat Keputusan Menteri ini mulai berlaku, Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara, dicabut dan dinyatakan tidak berlaku.""
Tidak Direstui Sri Mulyani
Terpisah, Sekjen Kementerian PU Zainal Fatah mengungkapkan alasan lain pembubaran Satgas Pembangunan Infrastruktur IKN.
Ternyata karena tidak mendapat persetujuan dari Menteri Keuangan Sri Mulyani.
""Kita komunikasi secara administratif dengan (Kementerian) Keuangan, Keuangan menolak. Artinya keliatannya nggak perlu itu (satgas). Ya sudah kita bubarin, karena nggak bisa dieksekusi,"" kata Zainal, seperti dilansir detikfinance.
""(Yang menolak Menteri Keuangan?) Iya, karena untuk membentuk pusat gas itu kan ada macem-macemnya, duitnya, acem-macem kan itu,"" sambungnya.
Dia menjelaskan, Satgas membutuhkan dukungan berbagai pihak, termasuk pendanaan. Di sisi lain, OIKN sudah bekerja normal, sehingga Satgas tidak diperlukan lagi.
""Yang jelas trigger utamanya kan Otorita sudah bekerja normal. Dulu tuh kan kita dibentuk karena di sini masing-masing Ditjen membangun, sehingga ada usulan Satgas,"" terangnya.
Sementara, saat ini pimpinan Satgas yang dulunya menjabat di Kementerian PUPR sudah pindah ke Otorita IKN semua. Beberapa di antaranya seperti Deputi Bidang Sarana dan Prasarana OIKN Danis Hidayat Sumadilaga dan Stafsus Bidang Perencanaan Pembangunan OIKN Imam Santoso Ernawi.
""Sudah di sana semua, yang penting bergerak bareng pendekatannya tidak hilang,"" kata dia.
Sebagai catatan, Satgas Pembangunan Infrastruktur IKN dulu dibentuk oleh Menteri PUPR era Presiden Jokowi, yang kini ditunjuk Presiden Prabowo Subianto sebagai Kepala OIKN, yaitu Basuki Hadimuljono.
Pembentukan Satgas melalui Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 1419/KPTS/M/2021 tentang Satgas Pembangunan Infrastruktur IKN.
"
2 Alasan Satgas Pembangunan IKN Dibubarkan, Dibentuk di Era Jokowi;https://www.cnbcindonesia.com/news/20250425160607-4-628821/2-alasan-satgas-pembangunan-ikn-dibubarkan-dibentuk-di-era-jokowi;5 bulan yang lalu;"Jakarta, CNBC Indonesia- Menteri Pekerjaan Umum (PU) Dody Hanggodo membubarkan Satuan Tugas (Satgas) Pembangunan Infrastruktur Ibu Kota Negara (IKN) Nusantara. Dengan menerbitkan Keputusan Menteri Pekerjaan Umum Nomor 408/KPTS/M/2025 tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 Tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Keputusan Menteri (Kepmen) itu ditetapkan pada 26 Maret 2025. Dan berlaku pada saat ditetapkan.
Dalam pertimbangan terungkap, pencabutan payung hukum Satgas itu adalah karena sudah ada Otorita IKN (OIKN).
Huruf (a) pertimbangan Kepmen No 408/2025 itu menjelaskan, dalam rangka persiapan pembangunan infrastruktur Ibu Kota Negara telah dibentuk satuan tugas pembangunan infrastruktur ibu kota negara melalui Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
""Bahwa telah dibentuk Otorita Ibu Kota melalui Peraturan Presiden Nomor 62 Tahun 2022 tentang Otorita Ibu Kota Nusantara dalam rangka pelaksanaan pembangunan infrastruktur Ibu Kota Negara,"" bunyi huru (b), dikutip Jumat (25/4/2025).
Lebih lanjut pada poin huruf (c) tertulis, ""Pelaksanaan pembangunan infrastruktur Ibu Kota Negara dilakukan oleh Otorita Ibu Kota Nusantara sehingga tidak diperlukan Satuan Tugas Ibu Kota Negara di Kementerian Pekerjaan Umum.""
Karena pertimbangan tersebut, pada poin huruf (d) disebutkan, perlu menetapkan Keputusan Menteri Pekerjaan Umum tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Sehingga ditetapkan, Keputusan Menteri Pekerjaan Umum Nomor 408/KPTS/M/2025 tentang Pencabutan Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 Tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara.
Diktum Kesatu Kepmen No 408/2025 memutuskan, ""Pada saat Keputusan Menteri ini mulai berlaku, Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 17/KPTS/M/2024 tentang Satuan Tugas Pembangunan Infrastruktur Ibu Kota Negara, dicabut dan dinyatakan tidak berlaku.""
Terpisah, Sekjen Kementerian PU Zainal Fatah mengungkapkan alasan lain pembubaran Satgas Pembangunan Infrastruktur IKN.
Ternyata karena tidak mendapat persetujuan dari Menteri Keuangan Sri Mulyani.
""Kita komunikasi secara administratif dengan (Kementerian) Keuangan, Keuangan menolak. Artinya keliatannya nggak perlu itu (satgas). Ya sudah kita bubarin, karena nggak bisa dieksekusi,"" kata Zainal, seperti dilansirdetikfinance.
""(Yang menolak Menteri Keuangan?) Iya, karena untuk membentuk pusat gas itu kan ada macem-macemnya, duitnya, acem-macem kan itu,"" sambungnya.
Dia menjelaskan, Satgas membutuhkan dukungan berbagai pihak, termasuk pendanaan. Di sisi lain, OIKN sudah bekerja normal, sehingga Satgas tidak diperlukan lagi.
""Yang jelas trigger utamanya kan Otorita sudah bekerja normal. Dulu tuh kan kita dibentuk karena di sini masing-masing Ditjen membangun, sehingga ada usulan Satgas,"" terangnya.
Sementara, imbuh dia, saat ini pimpinan Satgas yang dulunya menjabat di Kementerian PUPR sudah pindah ke Otorita IKN semua. Beberapa di antaranya seperti Deputi Bidang Sarana dan Prasarana OIKN Danis Hidayat Sumadilaga dan Stafsus Bidang Perencanaan Pembangunan OIKN Imam Santoso Ernawi.
""Sudah di sana semua, yang penting bergerak bareng pendekatannya tidak hilang,"" kata dia.Sebagai catatan, Satgas Pembangunan Infrastruktur IKN dulu dibentuk oleh Menteri PUPR era Presiden Jokowi, yang kini ditunjuk Presiden Prabowo Subianto sebagai Kepala OIKN, yaitu Basuki Hadimuljono.
Pembentukan Satgas melalui Keputusan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 1419/KPTS/M/2021 tentang Satgas Pembangunan Infrastruktur IKN."
Video: Menpan RB Ungkap Rencana ASN Pindah ke IKN;https://www.cnbcindonesia.com/news/20250423105843-8-628035/video-menpan-rb-ungkap-rencana-asn-pindah-ke-ikn;5 bulan yang lalu;"Jakarta, CNBC Indonesia -Pemerintah terus mematangkan rencana pemindahan Aparatur Sipil Negara ke Ibu Kota Nusantara. Menteri PANRB Rini Widyantini menjelaskan, pemindahan tahap awal ini penting agar proses koordinasi antar kementerian tetap berjalan efektif di tengah masa transisi ke ibu kota baru.
Selengkapnya dalam program Squawk Box CNBC Indonesia (Rabu, 23/04/2025) berikut ini."
Menteri PANRB Blak-blakan Soal Penundaaan Pemindahan ASN ke IKN;https://www.cnbcindonesia.com/research/20250423101907-128-628007/menteri-panrb-blak-blakan-soal-penundaaan-pemindahan-asn-ke-ikn;5 bulan yang lalu;"Jakarta, CNBC Indonesia -Pemerintah telah memutuskan untuk menunda pemindahan aparatur sipil negara (ASN). Hal ini dipicu oleh dinamika baru dalam pemerintahan dengan terbentuknya Kabinet Merah Putih sehingga memerlukan berbagai penyesuaian.
Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (PANRB) Rini Widyantini menyampaikan proses pemindahan kementerian/lembaga dan aparatur sipil negara (ASN) ke IKN merupakan langkah strategis yang membutuhkan perencanaan matang dan penyesuaian yang dinamis.
""Karenanya terkait pemindahan K/L dan ASN ke IKN perlu dilakukan penyesuaian kembali agar kebijakan pemindahan sejalan dengan perubahan struktur organisasi dan prioritas strategis pemerintah kedepan,"" ujar Menteri Rini dalam Rapat Kerja dengan Komisi II Dewan Perwakilan Rakyat (DPR), di Jakarta, dikutip Rabu (23/04/2025).


Rini menguraikan, dimulai sejak tahun 2022, Kementerian PANRB telah menyusun rekomendasi pemindahan K/L ke IKN melalui proses penapisan yang mempertimbangkan fungsi strategis, peran kelembagaan, serta kesiapan infrastruktur pendukung. Memasuki periode Oktober 2024 hingga 2025, terjadi dinamika baru dalam pemerintahan, yakni pembentukan Kabinet Merah Putih.
Proses ini membawa kebutuhan akan penyesuaian struktur organisasi K/L, penyelarasan penempatan SDM, serta penataan aset kelembagaan sesuai postur kabinet yang baru terbentuk.
""Pada 2025-2026, akan dilakukan penapisan ulang yang mempertimbangkan strategi pembangunan IKN terbaru, agar proses pemindahan tetap relevan, terarah, dan selaras dengan prioritas nasional. Saat ini penataan organisasi dan tata kerja sebagian K/L dalam Kabinet Merah Putih masih tahap konsolidasi internal pada masing-masing K/L,"" imbuhnya.


Pada kesempatan yang sama, Kepala Badan Kepegawaian Negara (BKN) Zudan Arif Fakrulloh mengatakan untuk mempermudah pemindahan ASN ke IKN, BKN telah menyiapkan Layanan ASN Pindah ke IKN pada platform ASN Digital.
""Layanan ini merupakan layanan yang berfungsi untuk memproses kepindahan ASN mulai dari pengusulan oleh masing-masing instansi sampai dengan ASN masuk pada Kawasan IKN,"" jelas Zudan.
Selain terkait pemindahan ASN ke IKN, dalam raker tersebut juga dibahas terkait digitalisasi pemerintahan desa. Transformasi digital pemerintah adalah perubahan mendalam yang mencakup peningkatan proses bisnis, penguatan sumber daya manusia, serta pergeseran budaya birokrasi menuju layanan yang lebih responsif dan berbasis kebutuhan masyarakat.
Agar perubahan ini dapat terwujud, Kementerian PANRB telah bekerja sinergis dengan Kemenkomdigi, Kementerian PPN/Bappenas, BSSN, Kemendagri, seta Kemendes, untuk menciptakan ekosistem digital yang tidak hanya mendukung, tetapi juga memberdayakan desa sebagai pendorong utama transformasi digital yang berkelanjutan dan merata.

"
Video:PNS Belum Direstui ke IKN - China Pulangkan Pesawat Boeing ke AS;https://www.cnbcindonesia.com/news/20250422183445-8-627890/videopns-belum-direstui-ke-ikn--china-pulangkan-pesawat-boeing-ke-as;5 bulan yang lalu;"Jakarta, CNBC Indonesia-Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Indonesia (PANRB) mengemukakan perihal alasan penundaaan mengenai pemindahan Aparatur Sipil Negara ke IKN. Semula, ASN akan mulai pindah pada oktober 2024.
Sementara itu,Tensi perang dagang yang memanas antara China dan Amerika Serikat membuat pesawat jet pabrikan Boeing dipulangkan lagi ke negeri paman sam oleh maskapai china sebagai penggunanya.
Selengkapnya saksikan di Program Evening Up CNBC Indonesia, Selasa (22/04/2025)."
30 Tower Baru untuk ASN di IKN Bakal Dibangun, Nilainya Rp 6 Triliun!;https://www.cnbcindonesia.com/news/20250422202912-4-627932/30-tower-baru-untuk-asn-di-ikn-bakal-dibangun-nilainya-rp-6-triliun;5 bulan yang lalu;"Jakarta, CNBC Indonesia -Deputi Bidang Sarana dan Prasarana Otorita Ibu Kota Negara (IKN) Nusantara Danis Hidayat mengatakan, pihaknya berencana membangun 30 tower baru untuk hunian Aparatur Sipil Negara (ASN) di IKN. Adapun per satu tower, anggarannya diperkirakan mencapai Rp 200 miliar.
""Estimasi awal sih sekitar 30 tower untuk menambah. Mungkin antara 150 sampai 200 (miliar rupiah) mungkin ya dengan lingkungannya, tergantung luasannya,"" ungkap Danis saat ditemui di Gedung DPR RI, Jakarta, Selasa (22/4/2025).
Danis pun menjelaskan bahwa DPR telah menyetujui anggaran Otorita IKN sebesar Rp 14,4 triliun sepanjang tahun 2025. Pembangunan tower baru akan menggunakan anggaran tersebut.
""Jadi anggaran kita yang sudah disetujui oleh DPR itu kan untuk 2025 Rp 14,4 triliun. Nah itu akan kita gunakan untuk membangun tadi. Kemudian kita menambah perkantoran untuk legislatif dan yudikatif.Kita menambah untuk akses jalan dan ekosistem lainnya, pendukung lainnya,"" ujarnya.
Adapun 30 tower ini direncanakan akan berlokasi di Kawasan Inti Pusat Pemerintahan atau KIPP 1A. Kendati demikian opsi lokasi lain juga akan terbuka.
""Bisa di 1A, bisa 1B, 1C, bahkan di WP2. Karena kan bertambah banyak pemindahannya, jumlahnya,"" ujarnya.
Sebelumnya, Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Rini Widyantini menjelaskan pemindahan Aparatur Sipil Negara (ASN) ke IKN masih belum bisa dipastikan.
Kendati demikian, ia mengatakan bahwa nantinya setiap pegawai ASN yang berkeluarga, akan mendapatkan satu hunian dinas.
""Setiap pegawai ASN ini diharapkan akan berkeluarga akan mendapatkan satu unit hunian dinas. Jadi satu ASN itu satu unit,"" ujar Rini dalam Rapat Kerja bersama Komisi II DPR RI, Selasa (22/4/2025).
Pemindahan pegawai ASN akan dilakukan secara bertahap sesuai dengan penapisan kelembagaan dan ketersediaan hunian.
Berikut rincian kesiapan hunian ASN untuk ekosistem Juni 2025:
Hunian ASN

Hunian Hankam"
Video: Pemindahan PNS ke IKN Belum Dapat Izin Prabowo;https://www.cnbcindonesia.com/news/20250422162834-8-627851/video-pemindahan-pns-ke-ikn-belum-dapat-izin-prabowo;5 bulan yang lalu;"Jakarta, CNBC Indonesia -Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Indonesia mengemukakan perihal alasan penundaaan mengenai pemindahan Aparatur Sipil Negara (ASN) ke IKN.

Simak informasi selengkapnya dalam program Closing Bell CNBC Indonesia (Selasa, 22/04/2025) berikut ini."
Menteri PANRB soal Gaji PNS Naik 16%: Tak Ada Diskusi;https://www.cnbcindonesia.com/news/20250422161455-4-627846/menteri-panrb-soal-gaji-pns-naik-16-tak-ada-diskusi;5 bulan yang lalu;"Jakarta, CNBC Indonesia -Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Menpan RB) Rini Widyantini menanggapi isu yang beredar terkait kenaikan gaji PNS sebesar 16% pada tahun ini.
Menurutnya, hingga saat ini belum ada diskusi dengan Kementerian Keuangan mengenai isu tersebut. Isu kenaikan ini banyak disoroti oleh media nasional.
""Saya belum pernah ada diskusi. Nanti perlu ada diskusi dengan kementerian keuangan. Jadi nggak bisa langsung,"" ujar Rini saat ditemui di Gedung DPR RI, Selasa (22/4/2025).


Ia pun menjelaskan bahwa dirinya perlu melakukan pembahasan lebih lanjut dengan Menteri Keuangan, Sri Mulyani untuk keputusan kenaikan gaji PNS.
""Saya juga belum tahu ini apakah memang nampak besarannya, karena memang MenPANRB dengan Kementerian Keuangan harus duduk bersama untuk membahas itu,"" tegasnya.
Jika menilik Kerangka Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal (KEM PPKF) 2025, pada tahun 2024, terjadi kenaikan gaji Aparatur Sipil Negara (ASN) sebesar 8%. Kendati demikian, untuk kenaikan gaji pada tahun ini belum ada penjelasan lebih lanjut.
""Ya memang ada, tapi kan tidak menyebut nominalnya. Persentasenya kan tidak menyebut,"" ujar Rini.

"
